register_pair,successful_simulations,total_simulations,success_rate,success_rate_percent
check_s2_o_tag + csr_group20/hc_o,14,280,0.05,5.0
csr_group20/hc_o + pc_id_o_tag,14,280,0.05,5.0
csr_group20/hc_o + is_store_post_o_tag,14,280,0.05,5.0
csr_group20/hc_o + memory_set_o_tag,14,280,0.05,5.0
csr_group20/hc_o + pc_if_o_tag,14,280,0.05,5.0
csr_group20/hc_o + csr_group20/sd_o,7,140,0.05,5.0
alu_operand_a_ex_o_tag/hc_o + tcr_load_store/hc_o,52,1064,0.04887218045112782,4.887218045112782
alu_operator_o_mode + id_group0/hc_o,52,1064,0.04887218045112782,4.887218045112782
id_group0/hc_o + tcr_execute/hc_o,52,1064,0.04887218045112782,4.887218045112782
tpr_load_store_enable/hc_o + tpr_load_store_mode/hc_o,98,2044,0.04794520547945205,4.794520547945205
csr_group17/hc_o + csr_group20/hc_o,51,1064,0.047932330827067667,4.793233082706767
alu_operator_o_mode + id_group1/hc_o,50,1064,0.046992481203007516,4.6992481203007515
hc_o_rf_tag + tcr_load_store/hc_o,685,14840,0.04615902964959569,4.615902964959568
data_type_q_tag + tcr_load_store/hc_o,49,1064,0.046052631578947366,4.605263157894736
rdata_offset_q_tag + tcr_load_store/hc_o,49,1064,0.046052631578947366,4.605263157894736
store_source_ex_o_tag/hc_o + tcr_load_store/hc_o,49,1064,0.046052631578947366,4.605263157894736
alu_operand_c_ex_o_tag/hc_o + tcr_load_store/hc_o,49,1064,0.046052631578947366,4.605263157894736
is_store_post_o_tag/hc_o + tcr_load_store/hc_o,49,1064,0.046052631578947366,4.605263157894736
data_we_q_tag/hc_o + tcr_load_store/hc_o,49,1064,0.046052631578947366,4.605263157894736
hc_o_5 + tcr_load_store/hc_o,180,3920,0.04591836734693878,4.591836734693878
pc_if_o_tag/hc_o + tcr_load_store/hc_o,48,1064,0.045112781954887216,4.511278195488721
check_s2_o_tag/hc_o + tcr_load_store/hc_o,48,1064,0.045112781954887216,4.511278195488721
id_group1/hc_o + tcr_execute/hc_o,48,1064,0.045112781954887216,4.511278195488721
rdata_q_tag + tcr_load_store/hc_o,175,3920,0.044642857142857144,4.464285714285714
tcr_load_store/hc_o + tpr_arith/hc_o,91,2044,0.04452054794520548,4.4520547945205475
tcr_load_store/hc_o + tpr_branch/hc_o,91,2044,0.04452054794520548,4.4520547945205475
tcr_load_store/hc_o + tpr_jump/hc_o,91,2044,0.04452054794520548,4.4520547945205475
tcr_load_store/hc_o + tpr_shift/hc_o,91,2044,0.04452054794520548,4.4520547945205475
tcr_load_store/hc_o + tpr_comparison/hc_o,91,2044,0.04452054794520548,4.4520547945205475
tcr_load_store/hc_o + tpr_logical/hc_o,91,2044,0.04452054794520548,4.4520547945205475
tcr_arith/hc_o + tcr_load_store/hc_o,91,2044,0.04452054794520548,4.4520547945205475
tcr_branch/hc_o + tcr_load_store/hc_o,91,2044,0.04452054794520548,4.4520547945205475
tcr_jump/hc_o + tcr_load_store/hc_o,91,2044,0.04452054794520548,4.4520547945205475
tcr_load_store/hc_o + tcr_shift/hc_o,91,2044,0.04452054794520548,4.4520547945205475
tcr_comparison/hc_o + tcr_load_store/hc_o,91,2044,0.04452054794520548,4.4520547945205475
tcr_load_store/hc_o + tcr_logical/hc_o,91,2044,0.04452054794520548,4.4520547945205475
rdata_offset_q_tag/hc_o + tcr_load_store/hc_o,91,2044,0.04452054794520548,4.4520547945205475
data_type_q_tag/hc_o + tcr_load_store/hc_o,91,2044,0.04452054794520548,4.4520547945205475
rdata_q_tag/hc_o + tcr_load_store/hc_o,91,2044,0.04452054794520548,4.4520547945205475
check_d_o_tag/hc_o + tcr_load_store/hc_o,47,1064,0.044172932330827065,4.417293233082707
register_set_o_tag/hc_o + tcr_load_store/hc_o,47,1064,0.044172932330827065,4.417293233082707
rs1_o_tag/hc_o + tcr_load_store/hc_o,47,1064,0.044172932330827065,4.417293233082707
alu_operator_o_mode + use_store_ops_ex_o,74,1680,0.04404761904761905,4.404761904761905
regfile_alu_waddr_ex_o_tag + tcr_load_store/hc_o,332,7588,0.043753294675803904,4.37532946758039
hc_o_rf_tag + tcr_execute/hc_o,654,15008,0.04357675906183369,4.357675906183369
csr_group20/hc_o + if_stage/hc_o,46,1064,0.043233082706766915,4.323308270676692
alu_operator_o_mode + tcr_execute/hc_o,48,1120,0.04285714285714286,4.285714285714286
store_dest_addr_ex_o_tag/hc_o + tcr_execute/hc_o,24,560,0.04285714285714286,4.285714285714286
tcr_execute/hc_o + use_store_ops_ex_o/hc_o,24,560,0.04285714285714286,4.285714285714286
check_s1_o_tag/hc_o + tcr_execute/hc_o,24,560,0.04285714285714286,4.285714285714286
hc_o_5 + tcr_execute/hc_o,84,2016,0.041666666666666664,4.166666666666666
regfile_alu_waddr_ex_o_tag + tcr_execute/hc_o,320,7728,0.041407867494824016,4.140786749482402
id_group2/hc_o + tcr_execute/hc_o,44,1064,0.041353383458646614,4.135338345864661
id_group4/hc_o + tcr_execute/hc_o,44,1064,0.041353383458646614,4.135338345864661
id_group5/hc_o + tcr_execute/hc_o,44,1064,0.041353383458646614,4.135338345864661
