register,successful_simulations,total_simulations,success_rate,success_rate_percent
rf_reg[13],491,91856,0.005345323114439993,0.5345323114439993
ex_stage/sd_o,36,7016,0.005131128848346636,0.5131128848346637
lsu/sd_o,36,7016,0.005131128848346636,0.5131128848346637
pc_id_o_tag,431,91856,0.00469212680717645,0.46921268071764505
pc_if_o_tag,431,91856,0.00469212680717645,0.46921268071764505
rf_reg[2],428,91856,0.004659466991813273,0.4659466991813273
tcr_q,2512,540672,0.004646070075757576,0.46460700757575757
rf_reg[1],424,91856,0.004615920571329037,0.4615920571329037
rdata_offset_q_tag/hc_o,611,136608,0.004472651674865308,0.4472651674865308
data_type_q_tag/hc_o,611,136608,0.004472651674865308,0.4472651674865308
rdata_q_tag/hc_o,611,136608,0.004472651674865308,0.4472651674865308
tpr/sd_o_32,100,22520,0.004440497335701598,0.4440497335701598
store_source_ex_o_tag/hc_o,317,72416,0.0043774856385329205,0.437748563853292
alu_operand_c_ex_o_tag/hc_o,317,72416,0.0043774856385329205,0.437748563853292
is_store_post_o_tag/hc_o,317,72416,0.0043774856385329205,0.437748563853292
data_we_q_tag/hc_o,317,72416,0.0043774856385329205,0.437748563853292
memory_set_o_tag/hc_o,309,72416,0.004267012814847548,0.4267012814847548
check_d_o_tag/hc_o,305,72416,0.004211776403004861,0.4211776403004861
rs1_o_tag/hc_o,305,72416,0.004211776403004861,0.4211776403004861
check_s2_o_tag/hc_o,303,72416,0.004184158197083517,0.41841581970835173
register_set_o_tag/hc_o,295,72416,0.004073685373398144,0.4073685373398144
tpr_arith/hc_o,293,74096,0.003954329518462535,0.39543295184625354
tpr_branch/hc_o,293,74096,0.003954329518462535,0.39543295184625354
tpr_jump/hc_o,293,74096,0.003954329518462535,0.39543295184625354
tpr_shift/hc_o,293,74096,0.003954329518462535,0.39543295184625354
tpr_comparison/hc_o,293,74096,0.003954329518462535,0.39543295184625354
tpr_logical/hc_o,293,74096,0.003954329518462535,0.39543295184625354
tcr_arith/hc_o,293,74096,0.003954329518462535,0.39543295184625354
tcr_branch/hc_o,293,74096,0.003954329518462535,0.39543295184625354
tcr_jump/hc_o,293,74096,0.003954329518462535,0.39543295184625354
tcr_shift/hc_o,293,74096,0.003954329518462535,0.39543295184625354
tcr_comparison/hc_o,293,74096,0.003954329518462535,0.39543295184625354
tcr_logical/hc_o,293,74096,0.003954329518462535,0.39543295184625354
if_stage/hc_o,472,132144,0.00357186100012108,0.35718610001210804
pc_if_o_tag/hc_o,255,72416,0.003521321254971277,0.3521321254971277
pc_id_o_tag/hc_o,255,72416,0.003521321254971277,0.3521321254971277
tcr/sd_o_32,79,22520,0.003507992895204263,0.35079928952042627
tcr_execute/hc_o,273,81872,0.0033344733242134062,0.3334473324213406
lsu/hc_o,162,49072,0.003301271600912944,0.3301271600912944
sd_o_5,85,26120,0.0032542113323124045,0.32542113323124044
