register,successful_simulations,total_simulations,success_rate,success_rate_percent
alu_operand_a_ex_o_tag/sd_o,4,14562,0.0002746875429199286,0.02746875429199286
alu_operand_b_ex_o_tag/sd_o,4,14562,0.0002746875429199286,0.02746875429199286
alu_operand_c_ex_o_tag/sd_o,4,14562,0.0002746875429199286,0.02746875429199286
check_s1_o_tag/sd_o,4,14562,0.0002746875429199286,0.02746875429199286
check_s2_o_tag/sd_o,4,14562,0.0002746875429199286,0.02746875429199286
check_d_o_tag/sd_o,4,14562,0.0002746875429199286,0.02746875429199286
register_set_o_tag/sd_o,4,14562,0.0002746875429199286,0.02746875429199286
is_store_post_o_tag/sd_o,4,14562,0.0002746875429199286,0.02746875429199286
rs1_o_tag/sd_o,4,14562,0.0002746875429199286,0.02746875429199286
data_we_q_tag/sd_o,4,14562,0.0002746875429199286,0.02746875429199286
rdata_offset_q_tag/sd_o,4,14562,0.0002746875429199286,0.02746875429199286
data_type_q_tag/sd_o,4,14562,0.0002746875429199286,0.02746875429199286
rdata_q_tag/sd_o,4,14562,0.0002746875429199286,0.02746875429199286
tpr_load_store_mode/sd_o,2,7962,0.00025119316754584274,0.025119316754584273
tpr_load_store_enable/sd_o,2,7962,0.00025119316754584274,0.025119316754584273
csr_group12/sd_o,2,8598,0.00023261223540358222,0.02326122354035822
csr_group15/sd_o,2,8598,0.00023261223540358222,0.02326122354035822
id_group9/sd_o,1,8598,0.00011630611770179111,0.01163061177017911
id_group0/sd_o,0,8598,0.0,0.0
id_group1/sd_o,0,8598,0.0,0.0
id_group2/sd_o,0,8598,0.0,0.0
id_group3/sd_o,0,8598,0.0,0.0
id_group4/sd_o,0,8598,0.0,0.0
id_group5/sd_o,0,8598,0.0,0.0
id_group6/sd_o,0,8598,0.0,0.0
id_group7/sd_o,0,8598,0.0,0.0
id_group8/sd_o,0,8598,0.0,0.0
csr_group0/sd_o,0,8598,0.0,0.0
csr_group1/sd_o,0,8598,0.0,0.0
csr_group2/sd_o,0,8598,0.0,0.0
csr_group3/sd_o,0,8598,0.0,0.0
csr_group4/sd_o,0,8598,0.0,0.0
csr_group5/sd_o,0,8598,0.0,0.0
csr_group6/sd_o,0,8598,0.0,0.0
csr_group7/sd_o,0,8598,0.0,0.0
csr_group8/sd_o,0,8598,0.0,0.0
csr_group9/sd_o,0,8598,0.0,0.0
csr_group10/sd_o,0,8598,0.0,0.0
csr_group11/sd_o,0,8598,0.0,0.0
csr_group13/sd_o,0,8598,0.0,0.0
csr_group14/sd_o,0,8598,0.0,0.0
csr_group16/sd_o,0,8598,0.0,0.0
csr_group17/sd_o,0,8598,0.0,0.0
csr_group18/sd_o,0,8598,0.0,0.0
csr_group19/sd_o,0,8598,0.0,0.0
csr_group20/sd_o,0,8598,0.0,0.0
lsu_group1/sd_o,0,8598,0.0,0.0
lsu_group2/sd_o,0,8598,0.0,0.0
lsu_group3/sd_o,0,8598,0.0,0.0
lsu_group4/sd_o,0,8598,0.0,0.0
lsu_group5/sd_o,0,8598,0.0,0.0
tpr_arith/sd_o,0,7962,0.0,0.0
tpr_branch/sd_o,0,7962,0.0,0.0
tpr_jump/sd_o,0,7962,0.0,0.0
tpr_shift/sd_o,0,7962,0.0,0.0
tpr_comparison/sd_o,0,7962,0.0,0.0
tpr_logical/sd_o,0,7962,0.0,0.0
tcr_arith/sd_o,0,7962,0.0,0.0
tcr_branch/sd_o,0,7962,0.0,0.0
tcr_jump/sd_o,0,7962,0.0,0.0
tcr_shift/sd_o,0,7962,0.0,0.0
tcr_comparison/sd_o,0,7962,0.0,0.0
tcr_logical/sd_o,0,7962,0.0,0.0
tcr_load_store/sd_o,0,7962,0.0,0.0
sp_o_5,0,2766,0.0,0.0
